source,destination,type
docs/reports/Model_Governance_Report.md,docs/reports/technical/Model_Governance_Report.md,report
docs/reports/Model_Dependency_Map.md,docs/reports/technical/Model_Dependency_Map.md,report
docs/reports/Structural_Coordinate_Mapping_Report.md,docs/reports/technical/Structural_Coordinate_Mapping_Report.md,report
docs/reports/Ridge_Structural_Alignment_Report.md,docs/reports/technical/Ridge_Structural_Alignment_Report.md,report
docs/reports/Phase4_Step15A_Finalization_Report.md,docs/reports/phase4/Phase4_Step15A_Finalization_Report.md,report
docs/reports/Phase4_Step16_Enterprise_Audit_Report.md,docs/reports/phase4/Phase4_Step16_Enterprise_Audit_Report.md,report
docs/reports/Phase4_Step17_Final_Structural_Integration_Report.md,docs/reports/phase4/Phase4_Step17_Final_Structural_Integration_Report.md,report
docs/reports/Phase4_Step17A_Stale_Reference_Cleanup_Report.md,docs/reports/phase4/Phase4_Step17A_Stale_Reference_Cleanup_Report.md,report
docs/reports/Phase4_Step18_Visualization_Readiness_Report.md,docs/reports/phase4/Phase4_Step18_Visualization_Readiness_Report.md,report
docs/reports/Phase4_Step19_3D_Scene_Build_Report.md,docs/reports/phase4/Phase4_Step19_3D_Scene_Build_Report.md,report
docs/reports/Phase4_Step21_Geological_Presentation_Report.md,docs/reports/phase4/Phase4_Step21_Geological_Presentation_Report.md,report
docs/reports/Phase4_Step21A_Presentation_Optimization_Report.md,docs/reports/phase4/Phase4_Step21A_Presentation_Optimization_Report.md,report
docs/reports/Phase4_Step21B_Final_Structural_View_Report.md,docs/reports/phase4/Phase4_Step21B_Final_Structural_View_Report.md,report
docs/reports/Phase4_Step21C_Final_Interpretation_View_Report.md,docs/reports/phase4/Phase4_Step21C_Final_Interpretation_View_Report.md,report
docs/reports/Phase4_Step21D_Publication_View_Report.md,docs/reports/phase4/Phase4_Step21D_Publication_View_Report.md,report
docs/reports/Phase4_Step22_Final_Enterprise_Delivery_Report.md,docs/reports/phase4/Phase4_Step22_Final_Enterprise_Delivery_Report.md,report
docs/reports/Phase4_Step22A_Documentation_Cleanup_Report.md,docs/reports/phase4/Phase4_Step22A_Documentation_Cleanup_Report.md,report
docs/reports/Phase4_Step22B_Final_Audit_Rebuild_Report.md,docs/reports/phase4/Phase4_Step22B_Final_Audit_Rebuild_Report.md,report
docs/reports/Phase5_Step1_Repository_Audit_Report.md,docs/reports/phase5/Phase5_Step1_Repository_Audit_Report.md,report
docs/reports/Phase5_Step1A_Repository_Cleanup_Audit_Report.md,docs/reports/phase5/Phase5_Step1A_Repository_Cleanup_Audit_Report.md,report
docs/reports/Phase5_Step1B_File_Disposition_Report.md,docs/reports/phase5/Phase5_Step1B_File_Disposition_Report.md,report
docs/reports/Phase5_Step1C_Scientific_Data_Classification_Report.md,docs/reports/phase5/Phase5_Step1C_Scientific_Data_Classification_Report.md,report
docs/reports/Phase5_Step1D_Migration_Map_Report.md,docs/reports/phase5/Phase5_Step1D_Migration_Map_Report.md,report
docs/reports/Phase4_Step20_3D_Scene_Validation_Report.md,docs/reports/phase4/Phase4_Step20_3D_Scene_Validation_Report.md,report
docs/reports/Phase4_Step22C_Final_Validation_Report.md,docs/reports/phase4/Phase4_Step22C_Final_Validation_Report.md,report
docs/reports/Phase4_Step22D_Final_Delivery_Validation_Report.md,docs/reports/phase4/Phase4_Step22D_Final_Delivery_Validation_Report.md,report
docs/reports/Phase5_Step1E_Migration_Validation_Report.md,docs/reports/phase5/Phase5_Step1E_Migration_Validation_Report.md,report
outputs/visualization/candidate_structural_preview.png,docs/figures/geological/candidate_structural_preview.png,figure
outputs/visualization/01_full_joint_density_preview.png,docs/figures/inversion/01_full_joint_density_preview.png,figure
outputs/visualization/mesh_components.png,docs/figures/presentation/mesh_components.png,figure
outputs/visualization/ridge_surface_clean.png,docs/figures/geological/ridge_surface_clean.png,figure
outputs/visualization/06_strong_density_anomalies.png,docs/figures/inversion/06_strong_density_anomalies.png,figure
outputs/visualization/05_negative_density_anomalies.png,docs/figures/inversion/05_negative_density_anomalies.png,figure
outputs/visualization/colorado_joint_final_loss_curves.png,docs/figures/inversion/colorado_joint_final_loss_curves.png,figure
outputs/visualization/fault_preview.png,docs/figures/geological/fault_preview.png,figure
outputs/visualization/04_positive_density_anomalies.png,docs/figures/inversion/04_positive_density_anomalies.png,figure
outputs/visualization/susceptibility_voxel_model.png,docs/figures/inversion/susceptibility_voxel_model.png,figure
outputs/visualization/colorado_joint_final_model_slices.png,docs/figures/inversion/colorado_joint_final_model_slices.png,figure
outputs/visualization/07_high_susceptibility_anomalies.png,docs/figures/inversion/07_high_susceptibility_anomalies.png,figure
outputs/visualization/ridge_surface_preview.png,docs/figures/geological/ridge_surface_preview.png,figure
outputs/visualization/density_interactive.html,docs/figures/inversion/density_interactive.html,figure
outputs/visualization/candidate_fault_preview.png,docs/figures/geological/candidate_fault_preview.png,figure
outputs/visualization/03_full_susceptibility_volume.png,docs/figures/inversion/03_full_susceptibility_volume.png,figure
outputs/visualization/density_voxel_model.png,docs/figures/inversion/density_voxel_model.png,figure
outputs/visualization/Density_3D_Model.html,docs/figures/inversion/Density_3D_Model.html,figure
outputs/visualization/Density_Slices.png,docs/figures/inversion/Density_Slices.png,figure
outputs/visualization/Density_Volume.png,docs/figures/inversion/Density_Volume.png,figure
outputs/visualization/Susceptibility_Volume.png,docs/figures/inversion/Susceptibility_Volume.png,figure
outputs/visualization/Susceptibility_3D_Model.html,docs/figures/inversion/Susceptibility_3D_Model.html,figure
outputs/visualization/Colorado_FINAL_STRUCTURAL_GEOLOGY_3D.html,docs/figures/geological/Colorado_FINAL_STRUCTURAL_GEOLOGY_3D.html,figure
outputs/visualization/Colorado_FINAL_STRUCTURAL_FIXED.html,docs/figures/geological/Colorado_FINAL_STRUCTURAL_FIXED.html,figure
outputs/visualization/Gravity_Observed.png,docs/figures/inversion/Gravity_Observed.png,figure
outputs/visualization/Gravity_Predicted.png,docs/figures/inversion/Gravity_Predicted.png,figure
outputs/visualization/Gravity_Residual.png,docs/figures/inversion/Gravity_Residual.png,figure
